N,Processes,ExecutionTime
500, 1, 0.18
500, 2, 0.095
500, 4, 0.057
500, 6, 0.039
500, 8, 0.037
500, 9, 0.065
1000, 1, 1.54
1000, 2, 0.78
1000, 4, 0.39
1000, 6, 0.31
1000, 8, 0.26
1000, 9, 0.44
1500, 1, 5.56
1500, 2, 2.63
1500, 4, 1.37
1500, 6, 1.09
1500, 8, 0.91
1500, 9, 1.55
2000, 1, 13.88
2000, 2, 6.57
2000, 4, 3.44
2000, 6, 2.71
2000, 8, 2.30
2000, 9, 3.89
2500, 1, 37.96
2500, 2, 17.96
2500, 4, 9.38
2500, 6, 7.43
2500, 8, 6.28
2500, 9, 10.68
3000, 1, 63.10
3000, 2, 29.88
3000, 4, 15.59
3000, 6, 12.34
3000, 8, 10.42
3000, 9, 17.71
